En Pocahontas, ¿a quién se agarra Miko para poder realizar su gran salto?;A Flit;A Pocahontas;A John Smith;A la abuela Sauce
En la Bella Durmiente, ¿cómo despierta el principe a la princesa?;Besándola;Convirtiéndose en sapo;Matando al dragón;Regalándole un anillo
¿Por qué tiene celos de Blancanieves la Malvada Reina?;Porque es más hermosa que ella;Porque es más alta que ella;Porque es más fea que ella;Porque no le gustan las manzanas
¿Quién es el amor de Lady Marian?;Robin Hood;Sheriff Woody;Tarzán;Hércules
¿De qué color es el pelo de Cruella?;Una mitad blanco y la otra negro;Blanco;Negro;Azul
¿Cuál fue la primera película en la que participó Buzz Lightyear?;Toy Story;Toy Story 2;Toy Story 3;ET
¿Qué clase de arma utiliza Tarzán?;Una lanza;Un martillo;Una pistola;Un hacha
¿Cuál es el nombre del grupo de mujeres que canta en Hércules?;Las Musas;Las Blueses;Las Cruisers;Las Lupis
¿Qué ven Dumbo y Timoteo después de beber demasiado champán?;Elefantes rosas;Perros verdes;Ratones gigantes;Gatos azules
¿Cuál es el nombre de la familia de Mulán?;Fa;La;Ka;Pa
¿Quién convierte a Abu en un elefante?;El Genio;Aladdín;Yasmín;La Alfombra
"¿Qué personaje narra la historia en ""El libro de la Selva""?";Bagheera;Baloo;Mowgli;Kaa
¿Debajo de qué tipo de planta se besan Woody y Betty?;De muérdago;De geranios;De margaritas;De rosas
¿Qué cualidad conserva Hércules cuando se convierte en humano?;Su fuerza;Su belleza;Superpoderes;Saltar muy alto
"¿Cómo se llama el oso protagonista de ""El libro de la Selva""?";Baloo;Mowgli;Kaa;Bagheera
