¿Qué clase de animales son Reina, Princesa y Duquesa?;Vacas;Perros;Gatos;Ratones
¿Cuál es el único enanito al que solo se le oye cuando llora y estornuda?;Mudito;Gruños;Dormilón;Sabiondo
"¿A quién llama Peter Pan ""Bacalao""?";Al Capitán Garfio;A Campanilla;A Wendy;A Nibs
¿Quién cambia de forma constantemente debido a que las partes de su cuerpo son móviles?;Sr. Patata;Sheriff Woody;Buzz Lightyear;Rex
¿De qué se da cuenta Buzz Lightyear cuando ve un anuncio de televión?;De que es un juguete;De que es un marciano;De que no puede volar;De que es verde
"¿Quién canta ""Qué festín""?";Lumiere;La bella;La bestia;Gastón
¿Qué clase de animal es Diana, la mascota de Alicia?;Un gatito;Un conejo;Una oruga;Una liebre
¿Qué estaba persiguiendo Dama cuando fue atrapada por el perrero?;Gallinas;Gatos;Ratones;Perros
¿Para qué han ido a África Jane y el profesor Porter?;Para estudiar a los gorilas;Por turismo;Para secuestrar animales;Para conocer a Tarzán
¿Qué es Filoctetes?;Un sátiro;Un cíclope;Una musa;Un duende
"¿De qué clase de pájaro proviene la pluma ""mágica""?";De un cuervo;De un gorrión;De un águila;De una cacatúa
¿Quién es el mejor amigo de Abu?;Aladdín;Yasmín;El sultán;El genio
¿Qué clase de animal es la mascota de Merlín?;Un búho;Un pez;Un gato;Un perro
¿Para quién firma Timoteo un contrato en Hollywood?;Para Dumbo;Para la madre de Dumbo;Para el cuervo Jim;Para la elefanta Giddy
¿Qué clase de animal desea Ratigan que piense la gente que es?;Un ratón;Un perro;Un gato;Un pez
