¡¡¡Vacaciones en Polinesia!!! ¿En qué continente estoy?;Oceanía;Europa;Asia;América
¿A cuántos países pertenece la selva del Amazonas?;8;1;6;5
¿A dónde llegó el explorador noruego Roald Amundsen en 1911?;Polo Sur;Polo Norte;Australia;A la cima del Monte Everest
¿A cuántos kilómetros de Madrid se encuentra la ciudad de Móstoles?;18;23;125;85
¿A cuántos metros sobre el nivel del mar (aproximandamente) está situada la ciudad de Zamora?;650;258;350;880
¿A qué archipiélago pertenece la isla Alegranza?;Islas Canarias;Islas baleares;Isla de San Martín;Isla Antigua
¿A qué archipiélago pertenecen Java, Bali, Timor y las Molucas, entre otras?;Indonesia;Antillas;Islas Seychelles;Islas Baleares
¿A qué comunidad pertenece el pantano de Tanes?;Asturias;Galicia;Vigo;Cuanca
¿A qué continente llego por primera vez en 1831 el inglés John Biscoe?;Antartida;Europa;América;Oceania
¿A qué desértico estado norteamericano pertenece la ciudad de Casa Grande?;Arizona;Texas;Nueva York;Conetica
A qué dos países pertenece la isla Grande Tierra del Fuego?;Argentina y Chile;Panama y Chile;Chile y México;Argentina y Urugay
¿A qué estado de EE.UU. corresponden las siglas ME?;Maine;Texas;Minesota;Cansas
¿A qué estado pertenece la ciudad de Eilat junto al mar Rojo?;Israel;España;Portugal;Egipto
