¿Qué sacan de la mina los enanitos de Blancanieves?;Diamantes;Carbón;Oro;Manzanas
¿Qué busca Peter Pan en casa de los Darling?;Su sombra;A Wendy;Al Capitán Garfio;A Campanilla
En Aladdín, ¿cuál es el nombre de la hija del Sultán?;Yasmín;Esmeralda;Wendy;Aurora
En Toy Story, ¿qué es Hamm?;Una hucha con forma de cerdito;Un perro;Un tiranosaurio de plástico;El jefe de la armada de soldados de plástico
"¿Qué clase de gato es el de ""Alicia en el país de las maravillas""?";El Gato de los Deseos;Un gato persa;Un gato siamés;Un gato bengala
¿Qué clase de perro es Dama?;Un cocker spaniel;Un bull terrier;Un perro tejonero;Un chihuahua
¿A quién entrena Filoctetes para que se convierta en estrella?;A Hércules;A Zeus;A Apolo;A Hades
¿Qué nombre recive el perro de Mulán?;Hermanito;Perrito;Amiguito;Enanito
"¿Quién se transforma en elefante en ""Aladdín""?";Abu;Yafar;Aladdín;El genio
¿Cuál es la parte de Kaa que cambia de color cuando hipnotiza Mowgli?;Sus ojos;Su pelo;Su piel;Su nariz
¿En qué película se conocen Úrsula y el Rey Tritón?;En la Sirenita;En Tarzán;En Aladdín;En Toy Story
¿A qué héroe intenta destruir Hades?;A Hércules;A Zeus;A Apolo;A Hermes
"¿Con qué animales baila Baloo ""Quiero ser como tú""?";Con los monos;Con Kaa;Con Mowgli;Con Bagheera
¿En que se convierte Madam Mim rompiendo sus propias reglas del juego?;En un dragón;En un pez;En un perro;En un gato
¿En qué estación del año está de caza Amos Slade?;En invierno;En otoño;En primavera;En verano
